LAYER,P,R,F
0,0.48447838,0.48450485,0.4821886
1,0.5124409,0.51243365,0.5109167
2,0.49396634,0.49394318,0.49285302
3,0.48355308,0.48351732,0.48258644
4,0.48206407,0.48202685,0.4811013
5,0.48171225,0.48167655,0.48073986
6,0.48402956,0.48400134,0.48304388
7,0.48760605,0.48758495,0.4866279
8,0.49034056,0.4903293,0.4893756
9,0.4919946,0.49199188,0.4910255
10,0.49351045,0.4935107,0.49251547
11,0.4953505,0.49535286,0.4943231
12,0.49792922,0.4979353,0.49686712
13,0.50119936,0.5012099,0.5001017
14,0.50464475,0.50465906,0.5035164
15,0.5072171,0.50723296,0.5060587
16,0.50804037,0.50805837,0.506836
17,0.50674427,0.5067624,0.5054734
18,0.5028615,0.5028785,0.50150096
19,0.4957624,0.49577576,0.49427336
20,0.48470628,0.48471764,0.48304176
21,0.46942177,0.4694329,0.46755382
22,0.45182654,0.45184082,0.44979697
23,0.4372368,0.43725976,0.43516964
24,0.43032366,0.4303518,0.42831102
