LAYER,P,R,F
0,0.37603918,0.37612942,0.37049496
1,0.31145602,0.3114958,0.3073803
2,0.25227228,0.2522994,0.24795091
3,0.22015819,0.22017719,0.21600199
4,0.21572605,0.21576598,0.21187688
5,0.21390381,0.21393314,0.21024637
6,0.21366087,0.21368802,0.21022928
7,0.2149553,0.21497151,0.2116843
8,0.21902423,0.21904334,0.215865
9,0.22598784,0.22601976,0.22294162
10,0.23651579,0.23656204,0.2335378
11,0.2508,0.25083283,0.24782418
12,0.26735264,0.26740175,0.2642045
13,0.2851571,0.2852036,0.28140694
14,0.30159834,0.3016559,0.2969648
15,0.31582344,0.31589058,0.31032172
16,0.33028397,0.3303347,0.32389277
17,0.34479943,0.34483773,0.33757344
18,0.3576801,0.35770583,0.34980485
19,0.36997133,0.36996147,0.3615338
20,0.3813416,0.38132015,0.37257645
21,0.3904368,0.39041746,0.38146585
22,0.4026223,0.40261322,0.39356884
23,0.41755676,0.41755086,0.4090774
24,0.40913486,0.40914643,0.40243107
